client_number;entity_number;is_first
181779;2542;True
181876;2543;True
181973;1706;True
182070;2544;True
179451;1790;True
182264;2548;True
182458;2550;True
182555;1779;True
182652;2540;True
182749;2554;True
182846;2558;True
182943;2559;True
183137;2562;True
183234;2564;True
183525;2567;True
183525;2568;False
183622;2569;True
183719;2570;True
183816;2571;True
184010;2572;True
184010;2574;False
184107;2575;True
184204;2576;True
184398;745;True
184689;2579;True
184786;2580;True
184883;2566;True
184980;2581;True
185174;2583;True
185271;2584;True
185368;2585;True
185368;2586;False
185368;2588;False
185368;2589;False
185465;2590;True
185465;2591;False
185562;2592;True
185659;2593;True
185659;2594;False
185756;1849;True
185756;1537;False
185853;2595;True
185950;2596;True
183331;2565;True
183331;2180;False
186241;2599;True
186435;2601;True
186532;2602;True
186532;2603;False
186629;2604;True
186726;2605;True
186920;2607;True
186920;2608;False
187114;2610;True
187211;2611;True
187308;2613;True
187405;2612;True
187502;2614;True
187502;2615;False
187696;2616;True
187793;2617;True
187987;2617;True
188084;2617;True
188181;2620;True
187890;2618;True
188278;2621;True
188278;2622;False
188375;2623;True
188472;2624;True
188569;2625;True
188666;2626;True
188666;415;False
188666;414;False
188763;2627;True
188957;2619;True
189054;2632;True
189151;2633;True
189442;2636;True
189539;2637;True
189636;2638;True
189830;2640;True
190024;2644;True
190218;2645;True
190606;2650;True
190897;2652;True
190897;2653;False
191188;2658;True
191285;2656;True
191382;2659;True
191576;2661;True
191867;2667;True
192061;2669;True
192158;2671;True
192255;2670;True
190412;2648;True
190412;2646;False
192449;2674;True
192546;2675;True
192643;2676;True
192740;2100;True
192740;2677;False
181488;2541;True
181488;2556;False
181488;2557;False
192837;2678;True
192934;2682;True
193031;2682;True
193128;2683;True
193419;1752;True
193516;2686;True
193710;2690;True
193710;2691;False
193807;2688;True
193807;2689;False
193904;2692;True
194098;2693;True
194098;2694;False
194292;2696;True
194389;2697;True
194486;2698;True
194486;2699;False
194583;2700;True
194583;2701;False
194680;2703;True
194777;2702;True
194777;2704;False
195068;2707;True
195068;2709;False
195262;2710;True
195359;2711;True
195359;2712;False
195456;2713;True
195650;2715;True
195747;2716;True
195844;2717;True
195844;2718;False
195941;2719;True
195941;2720;False
196135;2723;True
196135;2724;False
196232;2725;True
196329;2726;True
196426;2727;True
196523;2728;True
196620;2729;True
196814;2731;True
155880;2179;True
155880;2732;False
196911;2733;True
197105;2734;True
197396;2735;True
197493;2197;True
197493;2737;False
197493;2738;False
197590;2739;True
197590;2740;False
197687;2741;True
197687;2742;False
197881;2744;True
197881;2746;False
197978;2747;True
198075;2749;True
198172;2748;True
198172;2179;False
198269;2750;True
198366;2751;True
198366;851;False
198560;2753;True
198754;2754;True
198754;2756;False
198851;2757;True
198851;2758;False
198948;2759;True
199142;2761;True
199142;2762;False
199336;2764;True
199336;2765;False
199530;2767;True
199627;2768;True
27743;424;True
27743;425;False
27743;1221;False
200015;2773;True
